Team  	  	G  	 	Rec  	 	RecYds  	 	Rec/G  	 	RecYds/G  	 	TD  	 	1stD  	 	Lng  	 
Denver Broncos 	  	5  	 	69  	 	787  	 	13.8  	 	157.4  	 	7  	 	40  	 	46  	 
Miami Dolphins 	  	5  	 	66  	 	901  	 	13.2  	 	180.2  	 	6  	 	46  	 	54  	 
Indianapolis Colts 	  	5  	 	106  	 	908  	 	21.2  	 	181.6  	 	5  	 	48  	 	48  	 
Pittsburgh Steelers 	  	5  	 	84  	 	928  	 	16.8  	 	185.6  	 	3  	 	42  	 	38  	 
Jacksonville Jaguars 	  	4  	 	64  	 	779  	 	16.0  	 	194.8  	 	2  	 	37  	 	49  	 
Kansas City Chiefs 	  	5  	 	91  	 	983  	 	18.2  	 	196.6  	 	3  	 	47  	 	77  	 
Washington Redskins 	  	4  	 	89  	 	797  	 	22.3  	 	199.3  	 	2  	 	39  	 	33  	 
New England Patriots 	  	5  	 	94  	 	1003  	 	18.8  	 	200.6  	 	7  	 	55  	 	36  	 
Tampa Bay Buccaneers 	  	5  	 	108  	 	1006  	 	21.6  	 	201.2  	 	5  	 	53  	 	58  	 
Tennessee Titans 	  	4  	 	92  	 	856  	 	23.0  	 	214.0  	 	2  	 	39  	 	47  	 
Atlanta Falcons 	  	5  	 	91  	 	1074  	 	18.2  	 	214.8  	 	5  	 	53  	 	60  	 
Baltimore Ravens 	  	5  	 	85  	 	1095  	 	17.0  	 	219.0  	 	8  	 	43  	 	78  	 
New Orleans Saints 	  	4  	 	57  	 	879  	 	14.3  	 	219.8  	 	8  	 	38  	 	69  	 
St. Louis Rams 	  	5  	 	85  	 	1107  	 	17.0  	 	221.4  	 	7  	 	52  	 	68  	 
Dallas Cowboys 	  	5  	 	104  	 	1120  	 	20.8  	 	224.0  	 	6  	 	60  	 	60  	 
San Francisco 49ers 	  	5  	 	103  	 	1125  	 	20.6  	 	225.0  	 	5  	 	57  	 	65  	 
Houston Texans 	  	5  	 	108  	 	1136  	 	21.6  	 	227.2  	 	6  	 	56  	 	74  	 
Carolina Panthers 	  	5  	 	117  	 	1183  	 	23.4  	 	236.6  	 	5  	 	54  	 	69  	 
Seattle Seahawks 	  	5  	 	100  	 	1185  	 	20.0  	 	237.0  	 	3  	 	53  	 	49  	 
New York Giants 	  	5  	 	96  	 	1188  	 	19.2  	 	237.6  	 	9  	 	63  	 	51  	 
Arizona Cardinals 	  	5  	 	106  	 	1194  	 	21.2  	 	238.8  	 	7  	 	59  	 	43  	 
Oakland Raiders 	  	4  	 	82  	 	964  	 	20.5  	 	241.0  	 	6  	 	48  	 	35  	 
Green Bay Packers 	  	5  	 	98  	 	1206  	 	19.6  	 	241.2  	 	8  	 	55  	 	40  	 
New York Jets 	  	5  	 	103  	 	1220  	 	20.6  	 	244.0  	 	9  	 	65  	 	53  	 
Philadelphia Eagles 	  	4  	 	82  	 	996  	 	20.5  	 	249.0  	 	4  	 	44  	 	91  	 
Cincinnati Bengals 	  	4  	 	91  	 	1029  	 	22.8  	 	257.3  	 	11  	 	52  	 	42  	 
San Diego Chargers 	  	5  	 	105  	 	1309  	 	21.0  	 	261.8  	 	8  	 	58  	 	57  	 
Chicago Bears 	  	5  	 	117  	 	1335  	 	23.4  	 	267.0  	 	7  	 	59  	 	49  	 
Cleveland Browns 	  	5  	 	115  	 	1360  	 	23.0  	 	272.0  	 	15  	 	72  	 	41  	 
Detroit Lions 	  	5  	 	128  	 	1420  	 	25.6  	 	284.0  	 	10  	 	67  	 	68  	 
Minnesota Vikings 	  	4  	 	110  	 	1142  	 	27.5  	 	285.5  	 	5  	 	60  	 	42  	 
Buffalo Bills 	  	5  	 	128  	 	1457  	 	25.6  	 	291.4  	 	9  	 	76  	 	45  	 
